time,conc,BC637,Abs637,scat450,scat525,scat635,Angstrom,SSA637,total_conc_smps,total_volume,mean_diameter
2017-07-02 17:00:00, NaN, 0.223, 1.471, 18.342, 15.025, 11.666, 1.314, 0.893, NaN, NaN, NaN
2017-07-02 17:30:00, NaN, 0.202, 1.334, 18.870, 15.111, 11.997, 1.311, 0.901, NaN, NaN, NaN
2017-07-02 18:00:00, NaN, 0.231, 1.524, 18.145, 14.728, 11.707, 1.263, 0.886, NaN, NaN, NaN
2017-07-02 18:30:00, NaN, 0.183, 1.208, 15.071, 12.352, 9.486, 1.365, 0.885, NaN, NaN, NaN
2017-07-02 19:00:00, NaN, 0.154, 1.016, 19.540, 15.328, 10.142, 1.916, 0.857, NaN, NaN, NaN
2017-07-02 19:30:00, NaN, 0.454, 2.993, 33.540, 27.114, 24.337, 0.964, 0.881, NaN, NaN, NaN
2017-07-02 20:00:00, NaN, 0.715, 4.718, 33.193, 27.423, 25.565, 0.762, 0.844, NaN, NaN, NaN
2017-07-02 20:30:00, NaN, 0.465, 3.071, 22.845, 19.701, 15.584, 1.114, 0.844, NaN, NaN, NaN
2017-07-02 21:00:00, NaN, 0.503, 3.320, 39.520, 31.559, 27.306, 1.086, 0.871, NaN, NaN, NaN
2017-07-02 21:30:00, NaN, 0.332, 2.189, 36.412, 29.420, 26.041, 0.962, 0.861, NaN, NaN, NaN
2017-07-02 22:00:00, NaN, 0.423, 2.793, 38.952, 30.993, 25.638, 1.194, 0.854, NaN, NaN, NaN
2017-07-02 22:30:00, NaN, 0.680, 4.490, 44.171, 34.834, 27.870, 1.331, 0.807, NaN, NaN, NaN
2017-07-02 23:00:00, NaN, 0.324, 2.140, 41.659, 33.167, 28.834, 1.045, 0.902, NaN, NaN, NaN
2017-07-02 23:30:00, NaN, 0.472, 3.113, 24.408, 19.874, 15.376, 1.332, 0.781, NaN, NaN, NaN
2017-07-03 00:00:00, NaN, 0.178, 1.176, 20.526, 15.802, 13.121, 1.283, 0.752, NaN, NaN, NaN
2017-07-03 00:30:00, NaN, 0.659, 4.350, 22.982, 17.158, 13.911, 1.444, 0.740, NaN, NaN, NaN
2017-07-03 01:00:00, NaN, 0.188, 1.237, 24.765, 19.369, 14.466, 1.560, 0.824, NaN, NaN, NaN
2017-07-03 01:30:00, NaN, 0.427, 2.818, 22.309, 17.904, 13.852, 1.376, 0.552, NaN, NaN, NaN
2017-07-03 02:00:00, NaN, -0.002, -0.012, 13.303, 10.967, 6.574, 2.072, 0.688, NaN, NaN, NaN
2017-07-03 02:30:00, NaN, 0.049, 0.321, 11.292, 9.104, 4.793, 2.523, 0.598, NaN, NaN, NaN
2017-07-03 03:00:00, NaN, 0.229, 1.509, 10.316, 8.115, 3.944, 2.834, 0.507, NaN, NaN, NaN
2017-07-03 03:30:00, NaN, -0.063, -0.416, 9.293, 7.171, 3.228, 3.115, 0.443, NaN, NaN, NaN
2017-07-03 04:00:00, NaN, -0.075, -0.497, 8.924, 6.774, 2.888, 3.322, 0.216, NaN, NaN, NaN
2017-07-03 04:30:00, NaN, 0.209, 1.376, 8.637, 6.357, 2.583, 3.553, 0.234, NaN, NaN, NaN
2017-07-03 05:00:00, NaN, 0.151, 0.997, 8.551, 6.174, 2.517, 3.596, 0.243, NaN, NaN, NaN
2017-07-03 05:30:00, NaN, -0.000, -0.000, 8.703, 6.518, 2.784, 3.354, 0.421, NaN, NaN, NaN
2017-07-03 06:00:00, NaN, 0.131, 0.867, 9.169, 7.139, 3.874, 2.528, 0.595, NaN, NaN, NaN
2017-07-03 06:30:00, NaN, 0.293, 1.935, 9.529, 7.308, 3.844, 2.665, 0.266, NaN, NaN, NaN
2017-07-03 07:00:00, NaN, 0.209, 1.381, 9.455, 7.263, 3.587, 2.851, 0.536, NaN, NaN, NaN
2017-07-03 07:30:00, NaN, -0.016, -0.107, 8.963, 6.828, 2.803, 3.426, 0.370, NaN, NaN, NaN
2017-07-03 08:00:00, NaN, 0.009, 0.059, 7.979, 6.242, 2.800, 3.087, 0.378, NaN, NaN, NaN
2017-07-03 08:30:00, NaN, 0.073, 0.479, 7.912, 6.107, 2.513, 3.382, 0.419, NaN, NaN, NaN
2017-07-03 09:00:00, NaN, 0.024, 0.156, 7.502, 5.731, 2.198, 3.622, 0.528, NaN, NaN, NaN
2017-07-03 09:30:00, NaN, 0.408, 2.693, 6.801, 5.149, 1.543, 4.436, 0.387, NaN, NaN, NaN
2017-07-03 10:00:00, NaN, -0.016, -0.108, 6.129, 4.572, 0.797, 6.049, 1.000, NaN, NaN, NaN
2017-07-03 10:30:00, NaN, 1.178, 7.773, 5.919, 4.363, 0.737, 6.183, NaN, NaN, NaN, NaN
2017-07-03 11:00:00, NaN, 0.502, 3.312, 5.928, 4.380, 0.751, 6.124, 0.445, NaN, NaN, NaN
2017-07-03 11:30:00, NaN, 0.101, 0.669, 6.019, 4.418, 0.742, 6.207, 0.395, NaN, NaN, NaN
2017-07-03 12:00:00, NaN, 0.050, 0.330, NaN, NaN, NaN, NaN, NaN, 3151.426, 2.022, 38.207
2017-07-03 12:30:00, NaN, 0.137, 0.905, 8.570, 6.549, 2.710, 3.489, 0.654, 2846.742, 1.849, 38.337
2017-07-03 13:00:00, NaN, 0.087, 0.575, 6.626, 5.410, 1.567, 4.357, 0.548, 2389.562, 1.831, 36.260
2017-07-03 13:30:00, NaN, 0.078, 0.515, 5.760, 4.902, 0.839, 5.741, 0.593, NaN, NaN, NaN
2017-07-03 14:00:00, NaN, 0.138, 0.909, 5.794, 4.649, 0.845, 5.723, 0.498, NaN, NaN, NaN
2017-07-03 14:30:00, NaN, -0.052, -0.343, NaN, NaN, NaN, NaN, NaN, 4383.759, 1.525, 24.220
2017-07-03 15:00:00, NaN, 0.050, 0.330, NaN, NaN, NaN, NaN, NaN, 3643.841, 1.366, 24.305
2017-07-03 15:30:00, NaN, 0.059, 0.389, 5.043, 3.737, 0.401, 7.790, 0.518, 3632.779, 1.313, 24.223
2017-07-03 16:00:00, NaN, -0.040, -0.265, 6.292, 4.327, 0.863, 5.872, 0.326, 3916.523, 1.362, 25.887
2017-07-03 16:30:00, NaN, -0.026, -0.168, NaN, NaN, NaN, NaN, NaN, 5984.824, 1.113, 22.213
2017-07-03 17:00:00, NaN, 0.036, 0.241, 7.514, 5.331, 0.459, 8.301, 0.269, 6164.431, 1.392, 24.655
2017-07-03 17:30:00, NaN, 0.058, 0.385, 7.279, 5.327, 1.656, 4.370, 0.838, 4825.877, 1.308, 26.998
2017-07-03 18:00:00, NaN, 0.153, 1.008, 9.032, 6.547, 2.570, 3.881, 0.755, 6188.785, 2.071, 32.290
2017-07-03 18:30:00, NaN, 0.189, 1.245, 11.584, 9.046, 5.530, 2.178, 0.785, 5462.209, 2.203, 34.633
2017-07-03 19:00:00, NaN, 0.232, 1.528, 12.088, 9.588, 6.584, 1.780, 0.796, 5815.453, 2.294, 35.755
2017-07-03 19:30:00, NaN, 0.224, 1.477, 12.193, 9.602, 6.336, 1.913, 0.832, 5450.641, 2.169, 34.930
2017-07-03 20:00:00, NaN, 0.323, 2.133, 11.954, 9.369, 5.745, 2.146, 0.757, 6128.013, 2.277, 35.248
2017-07-03 20:30:00, NaN, 0.280, 1.845, 12.326, 9.764, 6.543, 1.899, 0.801, 8897.773, 2.719, 33.442
2017-07-03 21:00:00, NaN, 0.409, 2.699, 16.940, 13.884, 11.448, 1.155, 0.807, 12871.936, 3.428, 33.438
2017-07-03 21:30:00, NaN, 0.496, 3.276, 17.674, 14.517, 11.797, 1.171, 0.787, 13246.082, 3.370, 33.697
2017-07-03 22:00:00, NaN, 0.494, 3.259, 19.519, 15.680, 12.089, 1.379, 0.787, 12997.786, 4.033, 36.058
2017-07-03 22:30:00, NaN, 0.574, 3.785, 23.184, 18.697, 15.447, 1.173, 0.804, 11566.074, 4.257, 38.693
2017-07-03 23:00:00, NaN, 0.549, 3.622, 30.299, 25.113, 21.204, 1.051, 0.852, 11371.467, 5.209, 42.978
2017-07-03 23:30:00, NaN, 0.464, 3.062, 31.642, 25.892, 23.296, 0.874, 0.882, NaN, NaN, NaN
2017-07-04 00:00:00, NaN, 0.414, 2.730, 22.634, 18.407, 16.003, 1.091, 0.823, NaN, NaN, NaN
2017-07-04 00:30:00, NaN, 0.268, 1.766, 20.853, 16.810, 13.445, 1.271, 0.883, NaN, NaN, NaN
2017-07-04 01:00:00, NaN, 0.205, 1.355, 19.762, 15.962, 12.699, 1.281, 0.903, NaN, NaN, NaN
2017-07-04 01:30:00, NaN, 0.260, 1.717, 19.231, 15.537, 12.182, 1.324, 0.876, NaN, NaN, NaN
2017-07-04 02:00:00, NaN, 0.260, 1.717, 19.058, 15.415, 12.064, 1.327, 0.875, NaN, NaN, NaN
2017-07-04 02:30:00, NaN, 0.311, 2.056, 19.389, 15.660, 12.333, 1.311, 0.856, NaN, NaN, NaN
2017-07-04 03:00:00, NaN, 0.290, 1.915, 19.600, 15.781, 12.309, 1.349, 0.865, NaN, NaN, NaN
2017-07-04 03:30:00, NaN, 0.299, 1.971, 19.285, 15.458, 11.958, 1.386, 0.858, NaN, NaN, NaN
2017-07-04 04:00:00, NaN, 0.758, 5.004, 22.346, 17.606, 14.045, 1.346, 0.735, NaN, NaN, NaN
2017-07-04 04:30:00, NaN, 0.375, 2.472, 19.688, 15.835, 13.976, 0.971, 0.849, NaN, NaN, NaN
2017-07-04 05:00:00, NaN, 0.270, 1.780, 17.466, 13.847, 10.560, 1.467, 0.855, NaN, NaN, NaN
2017-07-04 05:30:00, NaN, 0.273, 1.802, 16.398, 13.262, 9.410, 1.620, 0.841, NaN, NaN, NaN
2017-07-04 06:00:00, NaN, 0.245, 1.614, 16.104, 12.906, 9.026, 1.689, 0.849, NaN, NaN, NaN
2017-07-04 06:30:00, NaN, 0.271, 1.791, 15.802, 12.558, 8.698, 1.741, 0.831, NaN, NaN, NaN
2017-07-04 07:00:00, NaN, 0.267, 1.759, 15.338, 12.012, 8.280, 1.797, 0.826, NaN, NaN, NaN
2017-07-04 07:30:00, NaN, 0.250, 1.650, 15.217, 11.809, 8.043, 1.858, 0.830, NaN, NaN, NaN
2017-07-04 08:00:00, NaN, 0.230, 1.517, 15.165, 11.685, 7.873, 1.910, 0.840, NaN, NaN, NaN
2017-07-04 08:30:00, NaN, 0.277, 1.827, 14.896, 11.267, 7.715, 1.914, 0.809, NaN, NaN, NaN
2017-07-04 09:00:00, NaN, 0.290, 1.911, 15.416, 11.739, 7.876, 1.956, 0.806, NaN, NaN, NaN
2017-07-04 09:30:00, NaN, 0.295, 1.944, 16.235, 12.181, 8.274, 1.960, 0.810, NaN, NaN, NaN
2017-07-04 10:00:00, NaN, 0.442, 2.919, 17.738, 13.772, 9.810, 1.721, 0.771, NaN, NaN, NaN
2017-07-04 10:30:00, NaN, 0.342, 2.257, 18.466, 14.349, 10.432, 1.658, 0.822, NaN, NaN, NaN
2017-07-04 11:00:00, NaN, 0.231, 1.522, 15.076, 12.055, 8.335, 1.758, 0.845, NaN, NaN, NaN
2017-07-04 11:30:00, NaN, 0.255, 1.682, 14.159, 11.016, 7.485, 1.858, 0.798, NaN, NaN, NaN
2017-07-04 12:00:00, NaN, 0.433, 2.860, 14.246, 11.076, 7.346, 1.933, 0.714, NaN, NaN, NaN
2017-07-04 12:30:00, NaN, 0.202, 1.337, 11.688, 8.618, 4.610, 2.831, 0.566, 4264.740, 2.176, 30.950
2017-07-04 13:00:00, NaN, 0.244, 1.608, 11.606, 9.011, 5.738, 2.211, 0.676, 7478.840, 3.325, 35.068
2017-07-04 13:30:00, NaN, 0.700, 4.617, 13.257, 11.046, 8.248, 1.476, 0.684, 8106.205, 3.928, 31.587
2017-07-04 14:00:00, NaN, 0.753, 4.966, 12.798, 10.159, 7.090, 2.086, 0.622, 7688.469, 5.032, 31.555
2017-07-04 14:30:00, NaN, 0.109, 0.719, 13.781, 11.226, 8.498, 1.566, 0.782, 9127.808, 3.630, 28.753
2017-07-04 15:00:00, NaN, 0.235, 1.551, 10.318, 7.982, 4.793, 2.796, 0.570, 6987.697, 4.628, 28.840
2017-07-04 15:30:00, NaN, 0.184, 1.217, 8.085, 5.810, 1.963, 4.198, 0.677, 8910.358, 1.757, 22.752
2017-07-04 16:00:00, NaN, 0.247, 1.629, 9.694, 6.552, 2.817, 3.628, 0.628, 11529.965, 3.252, 25.962
2017-07-04 16:30:00, NaN, 0.135, 0.890, 14.566, 11.854, 7.252, 2.046, 0.702, 12802.304, 3.302, 27.232
2017-07-04 17:00:00, NaN, 0.392, 2.585, 18.117, 14.445, 10.813, 1.954, 0.622, 13997.047, 5.039, 28.332
2017-07-04 17:30:00, NaN, 0.241, 1.592, 17.543, 13.388, 9.735, 1.730, 0.794, 17073.311, 2.906, 30.602
2017-07-04 18:00:00, NaN, 0.302, 1.993, 17.208, 13.445, 9.557, 1.711, 0.832, 17241.292, 3.053, 31.262
2017-07-04 18:30:00, NaN, 0.352, 2.323, 17.193, 13.562, 9.652, 1.681, 0.722, 16789.323, 3.548, 32.667
2017-07-04 19:00:00, NaN, 0.195, 1.288, 16.772, 13.239, 9.424, 1.678, 0.713, 15048.538, 4.337, 33.135
2017-07-04 19:30:00, NaN, 0.134, 0.881, 20.761, 15.599, 11.817, 1.672, 0.628, 14707.193, 3.452, 34.982
2017-07-04 20:00:00, NaN, 0.348, 2.296, 19.442, 16.283, 12.480, 1.294, 0.802, 15078.702, 3.609, 34.765
2017-07-04 20:30:00, NaN, 0.409, 2.699, 22.202, 17.841, 14.606, 1.206, 0.839, 15531.789, 4.871, 35.652
2017-07-04 21:00:00, NaN, 0.728, 4.801, 25.789, 21.878, 19.036, 0.877, 0.811, 16494.391, 4.524, 36.797
2017-07-04 21:30:00, NaN, 0.276, 1.824, 22.058, 17.550, 15.854, 0.953, 0.788, 16112.458, 4.653, 36.908
2017-07-04 22:00:00, NaN, 0.320, 2.111, 20.813, 16.477, 13.750, 1.195, 0.865, 15720.815, 4.112, 37.985
2017-07-04 22:30:00, NaN, 0.221, 1.459, 25.525, 19.813, 14.906, 1.556, 0.805, 14780.073, 4.536, 39.988
2017-07-04 23:00:00, NaN, 0.366, 2.418, 30.116, 23.402, 19.401, 1.282, 0.886, 15006.062, 5.518, 42.933
2017-07-04 23:30:00, NaN, 0.105, 0.693, 24.000, 19.088, 16.597, 1.073, 0.827, 13665.187, 4.339, 41.053
2017-07-05 00:00:00, NaN, 0.075, 0.495, 21.704, 16.880, 12.434, 1.599, 0.897, 14014.284, 4.981, 40.880
2017-07-05 00:30:00, NaN, 0.356, 2.347, 28.507, 22.239, 16.420, 1.638, 0.875, 15203.528, 5.697, 44.335
2017-07-05 01:00:00, NaN, 0.274, 1.805, 39.987, 32.025, 28.141, 1.006, 0.938, 9723.477, 4.611, 44.372
2017-07-05 01:30:00, NaN, 0.340, 2.242, 29.400, 24.130, 23.709, 0.631, 0.848, 7251.608, 5.279, 41.433
2017-07-05 02:00:00, NaN, 0.221, 1.460, 29.611, 24.136, 21.522, 0.914, 0.935, 7810.534, 4.511, 44.772
2017-07-05 02:30:00, NaN, 0.294, 1.939, 30.833, 25.028, 22.305, 0.927, 0.918, 8377.917, 5.323, 45.902
2017-07-05 03:00:00, NaN, 0.319, 2.105, 29.295, 23.765, 20.681, 1.011, 0.905, 7504.703, 4.190, 44.298
2017-07-05 03:30:00, NaN, 0.257, 1.693, 20.872, 16.401, 12.399, 1.511, 0.880, 6331.468, 3.256, 41.895
2017-07-05 04:00:00, NaN, 0.225, 1.482, 19.106, 15.546, 11.708, 1.415, 0.888, 6386.045, 2.937, 39.117
2017-07-05 04:30:00, NaN, 0.201, 1.327, 14.240, 11.332, 8.609, 1.507, 0.864, 7223.038, 3.027, 40.792
2017-07-05 05:00:00, NaN, 0.377, 2.486, 18.292, 13.931, 10.876, 1.541, 0.808, 10339.474, 4.070, 45.577
2017-07-05 05:30:00, NaN, 0.416, 2.742, 21.528, 16.835, 14.048, 1.224, 0.834, 11338.297, 5.645, 46.248
2017-07-05 06:00:00, NaN, 0.476, 3.143, 25.869, 21.073, 17.230, 1.193, 0.844, 10861.361, 5.368, 46.435
2017-07-05 06:30:00, NaN, 0.451, 2.977, 25.371, 20.675, 17.512, 1.067, 0.853, 8603.172, 4.187, 44.475
2017-07-05 07:00:00, NaN, 0.402, 2.653, 20.487, 15.462, 11.949, 1.601, 0.816, 7488.609, 3.916, 40.998
2017-07-05 07:30:00, NaN, 0.342, 2.257, 17.314, 14.072, 9.325, 1.804, 0.808, 6478.510, 2.662, 38.808
2017-07-05 08:00:00, NaN, 0.348, 2.297, 13.936, 10.628, 8.467, 1.438, 0.783, 7564.892, 4.006, 41.920
2017-07-05 08:30:00, NaN, 0.403, 2.660, 14.951, 11.653, 8.206, 1.745, 0.756, 8479.974, 4.014, 41.835
2017-07-05 09:00:00, NaN, 0.498, 3.289, 18.972, 13.876, 9.642, 1.978, 0.742, 9065.598, 5.334, 43.410
