building,well,depth_level,time,ch4,ch4_peak,co2,o2,h2s,co,bal,well pressure,field_notes,voc,lel,comments
I-3 Biblioteca,PMG-39,A,2014-04-08,0.0,,0.006,0.206,0.0,0.0,0.788,-0.01,,0.0,,
I-3 Biblioteca,PMG-39,B,2014-04-08,0.033,,0.088,0.113,0.0,0.0,0.766,0.03,,0.0,,
I-3 Biblioteca,PMG-40,A,2014-04-08,0.0,,0.003,0.215,0.0,0.0,0.783,-0.09,,0.0,,
I-3 Biblioteca,PMG-40,B,2014-04-08,0.0,,0.02,0.197,0.0,0.0,0.783,-0.1,,0.0,,
I-3 Biblioteca,PMG-41,A,2014-04-08,0.0,,0.003,0.21,0.0,0.0,0.787,0.0,,0.0,,
I-3 Biblioteca,PMG-41,B,2014-04-08,0.0,,0.005,0.208,0.0,0.0,0.787,-0.03,,0.0,,
I-3 Biblioteca,PMG-42,A,2014-04-08,0.0,,0.048,0.15,0.0,0.0,0.802,0.08,,0.0,,
I-3 Biblioteca,PMG-42,B,2014-04-08,0.004,,0.101,0.095,0.0,0.0,0.8,0.0,,0.0,,
I-3 Biblioteca,PMG-43,A,2014-04-08,0.0,,0.018,0.198,0.0,0.0,0.784,0.02,,0.0,,
I-3 Biblioteca,PMG-43,B,2014-04-08,0.0,,0.002,0.209,0.0,0.0,0.789,-0.09,,0.0,,
Edifício I-4 ,PMG-63,A,2014-04-08,0.0,,0.001,0.218,0.0,0.0,0.781,0.03,,0.0,,
Edifício I-4 ,PMG-63,B,2014-04-08,0.0,,0.051,0.151,0.0,0.0,0.798,0.25,,0.0,,
Edifício I-4 ,PMG-64,A,2014-04-08,0.0,,0.001,0.216,0.0,0.0,0.783,0.0,,0.0,,
Edifício I-4 ,PMG-64,B,2014-04-08,0.0,,0.001,0.215,0.0,0.0,0.784,0.09,A,0.0,,
Edifício I-4 ,PMG-65,A,2014-04-08,0.0,,0.001,0.214,0.0,0.0,0.785,0.02,,0.0,,
Edifício I-4 ,PMG-65,B,2014-04-08,0.0,,0.001,0.215,0.0,0.0,0.784,-0.09,A,0.0,,
Edifício I-4 ,PMG-66,A,2014-04-08,0.0,,0.012,0.201,0.0,0.0,0.788,-0.08,,0.0,,
Edifício I-4 ,PMG-66,B,2014-04-08,0.088,,0.156,0.061,1.0,1.0,0.695,-0.03,,0.0,,
Edifício I-4 ,PMG-67,A,2014-04-08,0.0,,0.001,0.216,0.0,0.0,0.783,-0.11,,0.0,,
Edifício I-4 ,PMG-67,B,2014-04-08,0.0,,0.013,0.205,0.0,0.0,0.782,0.0,,0.0,,
Edifício I-4 ,PMG-68,A,2014-04-08,0.0,,0.002,0.214,0.0,0.0,0.784,-0.1,,0.0,,
Edifício I-4 ,PMG-68,B,2014-04-08,0.0,,0.001,0.216,0.0,0.0,0.783,-0.02,,0.0,,
Edifício I-4 ,PMG-69,A,2014-04-08,0.0,,0.002,0.213,0.0,0.0,0.785,-0.26,,0.0,,
Edifício I-4 ,PMG-69,B,2014-04-08,0.012,0.018,0.02,0.187,0.0,0.0,0.781,0.14,,0.0,,
Edifício I-4 ,PMG-77,A,2014-04-08,0.0,,0.002,0.214,0.0,0.0,0.784,-0.03,,0.0,,
Edifício I-4 ,PMG-77,B,2014-04-08,0.0,,0.033,0.167,0.0,0.0,0.8,0.09,,0.0,,
Edifício I-4 ,PMG-78,A,2014-04-08,0.0,,0.001,0.216,0.0,0.0,0.783,-0.03,,0.0,,
Edifício I-4 ,PMG-78,B,2014-04-08,0.0,,0.077,0.113,0.0,0.0,0.81,0.09,,0.0,,
Edifício I-4 ,PMG-79,A,2014-04-08,0.0,,0.006,0.21,0.0,0.0,0.784,0.09,,0.0,,
Edifício I-4 ,PMG-79,B,2014-04-08,0.0,,0.002,0.214,0.0,0.0,0.784,0.08,,0.0,,
Edifício I-4 ,PMG-80,A,2014-04-08,0.0,,0.001,0.216,0.0,0.0,0.783,0.02,,0.0,,
Edifício I-4 ,PMG-80,B,2014-04-08,0.0,0.001,0.004,0.193,0.0,0.0,0.803,0.02,,0.0,,
Edifício I-4 ,PMG-81,A,2014-04-08,0.0,,0.001,0.215,0.0,0.0,0.784,-0.02,,0.0,,
Edifício I-4 ,PMG-81,B,2014-04-08,0.0,,0.009,0.165,0.0,0.0,0.826,-0.02,,0.0,,
Conjunto Laboratorial,PMG-46,A,2014-04-08,0.0,,0.008,0.207,0.0,0.0,0.785,-0.1,,,,
Conjunto Laboratorial,PMG-46,B,2014-04-08,0.0,,0.001,0.215,0.0,0.0,0.784,-0.06,,,,
Conjunto Laboratorial,PMG-47,A,2014-04-08,0.0,,0.003,0.212,0.0,0.0,0.785,-0.09,,,,
Conjunto Laboratorial,PMG-47,B,2014-04-08,0.0,,0.096,0.067,0.0,0.0,0.837,-0.09,,,,
Conjunto Laboratorial,PMG-48,A,2014-04-08,0.0,,0.029,0.185,0.0,0.0,0.786,-0.09,,0.0,,
Conjunto Laboratorial,PMG-48,B,2014-04-08,0.001,0.394,0.001,0.216,0.0,0.0,0.782,-0.07,,0.0,,
Conjunto Laboratorial,PMG-49,A,2014-04-08,0.001,,0.005,0.209,0.0,0.0,0.785,0.03,,,,
Conjunto Laboratorial,PMG-49,B,2014-04-08,0.0,,0.001,0.216,0.0,0.0,0.783,0.14,,,,
Conjunto Laboratorial,PMG-50,A,2014-04-08,0.0,,0.004,0.209,0.0,0.0,0.788,0.12,,,,
Conjunto Laboratorial,PMG-50,B,2014-04-08,0.202,0.254,0.053,0.154,2.0,0.0,0.59,0.0,,,,
Conjunto Laboratorial,PMG-51,A,2014-04-08,0.0,,0.008,0.202,0.0,0.0,0.79,-0.09,,0.0,,
Conjunto Laboratorial,PMG-51,B,2014-04-08,0.519,0.531,0.116,0.01,0.0,0.0,0.356,-0.03,,0.0,,
Conjunto Laboratorial,PMG-52,A,2014-04-08,0.0,0.002,0.001,0.216,0.0,0.0,0.783,0.0,,0.0,,
Conjunto Laboratorial,PMG-52,B,2014-04-08,0.0,,0.003,0.211,0.0,0.0,0.787,-0.05,,0.0,,
Conjunto Laboratorial,PMG-53,A,2014-04-08,0.0,,0.002,0.214,0.0,0.0,0.784,-0.09,,0.0,,
Conjunto Laboratorial,PMG-53,B,2014-04-08,0.0,,0.072,0.084,0.0,0.0,0.844,-0.14,,0.0,,
Conjunto Laboratorial,PMG-54,A,2014-04-08,0.0,,0.003,0.209,0.0,0.0,0.788,-0.14,,0.0,,
Conjunto Laboratorial,PMG-54,B,2014-04-08,0.02,,0.02,0.148,0.0,0.0,0.812,-0.03,,0.0,,
Conjunto Laboratorial,PMG-55,A,2014-04-08,0.0,,0.003,0.214,0.0,0.0,0.784,-0.02,,0.0,,
Conjunto Laboratorial,PMG-55,B,2014-04-08,0.002,,0.008,0.207,0.0,0.0,0.783,-0.05,,0.0,,
Conjunto Laboratorial,PMG-56,A,2014-04-08,0.0,0.001,0.001,0.212,0.0,0.0,0.787,-0.03,,0.0,,
Conjunto Laboratorial,PMG-56,B,2014-04-08,0.0,,0.038,0.148,0.0,0.0,0.814,0.03,,0.0,,
Conjunto Laboratorial,PMG-57,A,2014-04-08,0.0,,0.002,0.212,0.0,0.0,0.786,-0.13,,0.0,,
Conjunto Laboratorial,PMG-57,B,2014-04-08,0.069,0.125,0.022,0.185,0.0,0.0,0.724,-0.08,,0.0,,
Conjunto Laboratorial,PMG-58,A,2014-04-08,0.0,,0.0014,0.215,0.0,0.0,0.784,-0.16,,0.0,,
Conjunto Laboratorial,PMG-58,B,2014-04-08,0.0,,0.067,0.13,0.0,0.0,0.803,-0.07,,0.0,,
Conjunto Laboratorial,PMG-59,A,2014-04-08,0.0,,0.001,0.211,0.0,0.0,0.788,-0.19,,0.0,,
Conjunto Laboratorial,PMG-59,B,2014-04-08,0.274,0.309,0.118,0.072,0.0,0.0,0.536,-0.03,,0.0,,
Conjunto Laboratorial,PMG-60,A,2014-04-08,0.0,,0.002,0.21,0.0,0.0,0.788,-0.01,,0.0,,
Conjunto Laboratorial,PMG-60,B,2014-04-08,0.003,0.011,0.004,0.206,0.0,0.0,0.787,0.03,,0.0,,
Conjunto Laboratorial,PMG-61,A,2014-04-08,0.0,0.001,0.003,0.212,0.0,0.0,0.785,0.04,,0.0,,
Conjunto Laboratorial,PMG-61,B,2014-04-08,0.22,0.239,0.087,0.092,0.0,0.0,0.601,0.05,,0.0,,
Conjunto Laboratorial,PMG-62,A,2014-04-08,0.0,,0.001,0.216,0.0,0.0,0.783,0.03,,0.0,,
Conjunto Laboratorial,PMG-62,B,2014-04-08,0.0,0.078,0.001,0.216,0.0,0.0,0.783,0.08,,0.0,,
Bloco Inicial (conjunto didático),PMG-01,A,2014-04-08,0.0,,0.007,0.208,0.0,0.0,0.785,0.08,,0.0,,
Bloco Inicial (conjunto didático),PMG-01,B,2014-04-08,,,,,,,,,A,0.0,,
Bloco Inicial (conjunto didático),PMG-02,A,2014-04-08,0.0,,0.002,0.216,0.0,0.0,0.782,0.14,E,0.0,,
Bloco Inicial (conjunto didático),PMG-02,B,2014-04-08,0.192,,0.113,0.076,1.0,0.0,0.619,0.06,,0.0,,
Bloco Inicial (conjunto didático),PMG-03,A,2014-04-08,0.0,,0.037,0.171,0.0,0.0,0.792,-0.01,,0.0,,
Bloco Inicial (conjunto didático),PMG-03,B,2014-04-08,0.527,,0.068,0.073,0.0,1.0,0.332,0.04,,0.0,,
Bloco Inicial (conjunto didático),PMG-04,A,2014-04-08,0.0,0.003,0.001,0.219,0.0,0.0,0.78,0.03,,0.0,,
Bloco Inicial (conjunto didático),PMG-04,B,2014-04-08,0.0,,0.003,0.217,0.0,0.0,0.78,0.0,,0.0,,
Bloco Inicial (conjunto didático),PMG-05,A,2014-04-08,0.0,,0.002,0.213,0.0,0.0,0.785,-0.05,,0.0,,
Bloco Inicial (conjunto didático),PMG-05,B,2014-04-08,0.0,,0.001,0.215,0.0,0.0,0.784,-0.04,,0.0,,
Bloco Inicial (conjunto didático),PMG-06,A,2014-04-08,0.0,,0.001,0.207,0.0,0.0,0.792,0.02,,0.0,,
Bloco Inicial (conjunto didático),PMG-06,B,2014-04-08,0.0,,0.001,0.218,0.0,0.0,0.781,0.0,E,0.0,,
Bloco Inicial (conjunto didático),PMG-07,A,2014-04-08,0.0,,0.001,0.213,0.0,0.0,0.786,0.15,,0.0,,
Bloco Inicial (conjunto didático),PMG-07,B,2014-04-08,0.0,,0.001,0.218,0.0,0.0,0.782,-0.01,,0.0,,
Bloco Inicial (conjunto didático),PMG-08,A,2014-04-08,0.0,,0.004,0.2,0.0,0.0,0.796,0.03,,0.0,,
Bloco Inicial (conjunto didático),PMG-08,B,2014-04-08,0.042,0.618,0.101,0.112,0.0,2.0,0.745,-0.05,,0.0,,
Bloco Inicial (conjunto didático),PMG-09,A,2014-04-08,0.011,0.039,0.074,0.101,0.0,0.0,0.814,0.04,,0.0,,
Bloco Inicial (conjunto didático),PMG-09,B,2014-04-08,0.15,,0.086,0.109,0.0,0.0,0.655,-0.04,,0.0,,
Bloco Inicial (conjunto didático),PMG-10,A,2014-04-08,0.0,0.002,0.02,0.174,0.0,0.0,0.806,0.02,,0.0,,
Bloco Inicial (conjunto didático),PMG-10,B,2014-04-08,0.0,,0.058,0.13,0.0,0.0,0.812,0.03,,0.0,,
Bloco Inicial (conjunto didático),PMG-84,A,2014-04-08,0.0,,0.004,0.21,0.0,0.0,0.786,0.01,,0.0,,
Bloco Inicial (conjunto didático),PMG-84,B,2014-04-08,0.0,,0.053,0.144,0.0,0.0,0.803,0.01,,0.0,,
Bloco Inicial (conjunto didático),PMG-85,A,2014-04-08,0.0,,0.016,0.197,0.0,0.0,0.787,-0.22,,0.0,,
Bloco Inicial (conjunto didático),PMG-85,B,2014-04-08,0.0,0.001,0.031,0.162,0.0,0.0,0.807,-0.01,,0.0,,
Bloco Inicial (conjunto didático),PMG-86,A,2014-04-08,0.0,,0.007,0.21,0.0,0.0,0.783,0.08,,0.0,,
Bloco Inicial (conjunto didático),PMG-86,B,2014-04-08,0.0,,0.026,0.194,0.0,0.0,0.78,-0.12,,0.0,,
Bloco Inicial (conjunto didático),PMG-87,A,2014-04-08,0.0,,0.007,0.134,0.0,0.0,0.859,-0.04,,0.0,,
Bloco Inicial (conjunto didático),PMG-87,B,2014-04-08,0.0,,0.026,0.18,0.0,0.0,0.794,0.0,,0.0,,
Enfermaria,PMG-70,A,2014-04-08,,,,,,,,,,0.0,,
Enfermaria,PMG-70,B,2014-04-08,,,,,,,,,,0.0,,
Enfermaria,PMG-71,A,2014-04-08,,,,,,,,,,0.0,,
Enfermaria,PMG-71,B,2014-04-08,,,,,,,,,,0.0,,
Enfermaria,PMG-72,A,2014-04-08,,,,,,,,,,0.0,,
Enfermaria,PMG-72,B,2014-04-08,,,,,,,,,,0.0,,
Enfermaria,PMG-73,A,2014-04-08,,,,,,,,,,0.0,,
Enfermaria,PMG-73,B,2014-04-08,,,,,,,,,,0.0,,
Enfermaria,PMG-74,A,2014-04-08,0.014,,0.003,0.209,0.0,0.0,0.788,-0.09,,0.0,,
Enfermaria,PMG-74,B,2014-04-08,,,,,,,,,,0.0,,
Enfermaria,PMG-75,A,2014-04-08,,,,,,,,,,0.0,,
Enfermaria,PMG-75,B,2014-04-08,,,,,,,,,,0.0,,
Enfermaria,PMG-76,A,2014-04-08,,,,,,,,,,0.0,,
Enfermaria,PMG-76,B,2014-04-08,,,,,,,,,,0.0,,
CAT,PMG-82,A,2014-04-08,0.0,,0.119,0.081,0.0,0.0,0.8,-0.1,,0.0,,
CAT,PMG-82,B,2014-04-08,0.014,,0.164,0.047,0.0,0.0,0.775,-0.1,,0.0,,
CAT,PMG-83,A,2014-04-08,0.0,,0.078,0.108,0.0,0.0,0.814,-0.04,,0.0,,
CAT,PMG-83,B,2014-04-08,0.0,,0.058,0.15,0.0,0.0,0.792,-0.01,,1.3,,
CAT,PMG-94,A,2014-04-08,0.0,,0.01,0.199,0.0,0.0,0.791,0.06999999999999999,,0.0,,
CAT,PMG-94,B,2014-04-08,0.021,,0.17,0.035,1.0,0.0,0.772,0.09,,0.0,,
CAT,PMG-95,A,2014-04-08,0.008,,0.056,0.08,0.0,0.0,0.856,-0.03,,0.0,,
CAT,PMG-95,B,2014-04-08,0.0,,0.001,0.211,0.0,0.0,0.788,-0.06999999999999999,,0.0,,
CAT,PMG-96,A,2014-04-08,0.0,0.001,0.003,0.207,0.0,0.0,0.79,0.02,,0.0,,
CAT,PMG-96,B,2014-04-08,0.035,0.041,0.043,0.129,0.0,0.0,0.793,0.04,,0.0,,
CAT,PMG-97,A,2014-04-08,0.0,,0.006,0.203,0.0,0.0,0.791,-0.02,,0.0,,
CAT,PMG-97,B,2014-04-08,0.074,,0.083,0.111,4.0,73.2,0.732,-0.09,,0.0,,
CAT,PMG-98,A,2014-04-08,0.0,0.001,0.005,0.209,0.0,0.0,0.786,0.05,,0.0,,
CAT,PMG-98,B,2014-04-08,0.0,,0.012,0.203,0.0,0.0,0.785,-0.03,,0.0,,
Incubadora,PMG-88,A,2014-04-08,,,,,,,,,,0.0,,
Incubadora,PMG-88,B,2014-04-08,,,,,,,,,,0.0,,
Incubadora,PMG-89,A,2014-04-08,,,,,,,,,,0.0,,
Incubadora,PMG-89,B,2014-04-08,,,,,,,,,,0.0,,
Incubadora,PMG-90,A,2014-04-08,,,,,,,,,,0.0,,
Incubadora,PMG-90,B,2014-04-08,,,,,,,,,,0.0,,
Incubadora,PMG-91,A,2014-04-08,,,,,,,,,,0.0,,
Incubadora,PMG-91,B,2014-04-08,,,,,,,,,,0.0,,
Incubadora,PMG-92,A,2014-04-08,,,,,,,,,,0.0,,
Incubadora,PMG-92,B,2014-04-08,,,,,,,,,,0.0,,
Incubadora,PMG-93,A,2014-04-08,,,,,,,,,,0.0,,
Incubadora,PMG-93,B,2014-04-08,,,,,,,,,,0.0,,
Ginásio Poliesportivo,PMG-102,,2014-04-08,0.001,,0.001,0.212,0.0,0.0,0.786,0.0,,0.0,,
Ginásio Poliesportivo,PMG-103,,2014-04-08,0.0,,0.002,0.212,0.0,0.0,0.786,0.11,,0.0,,
Ginásio Poliesportivo,PMG-104,,2014-04-08,0.0,,0.004,0.207,0.0,0.0,0.789,-0.03,,0.0,,
Ginásio Poliesportivo,PMG-105,,2014-04-08,0.0,0.001,0.025,0.182,0.0,0.0,0.793,0.05,,0.0,,
Ginásio Poliesportivo,PMG-106,,2014-04-08,0.002,,0.006,0.198,0.0,0.0,0.794,0.01,,0.0,,
Ginásio Poliesportivo,PMG-107,,2014-04-08,0.0,,0.005,0.209,0.0,0.0,0.786,-0.08,,0.0,,
Ginásio Poliesportivo,PMG-108,,2014-04-08,0.0,,0.002,0.211,0.0,0.0,0.787,-0.06,,0.0,,
Ginásio Poliesportivo,PMG-109,A,2014-04-08,0.0,,0.001,0.213,0.0,0.0,0.786,-0.08,,0.0,,
Ginásio Poliesportivo,PMG-109,B,2014-04-08,0.0,0.002,0.01,0.189,0.0,0.0,0.801,0.14,,0.0,,
Ginásio Poliesportivo,PMG-110,A,2014-04-08,0.001,,0.001,0.211,0.0,0.0,0.787,0.0,,0.0,,
Ginásio Poliesportivo,PMG-110,B,2014-04-08,0.049,,0.046,0.099,0.0,0.0,0.806,-0.02,,0.3,,
Ginásio Poliesportivo,PMG-111,A,2014-04-08,0.0,,0.001,0.215,0.0,0.0,0.784,-0.01,,0.0,,
Ginásio Poliesportivo,PMG-111,B,2014-04-08,0.0,0.001,0.009,0.204,0.0,0.0,0.787,-0.01,,0.0,,
Ginásio Poliesportivo,PMG-112,,2014-04-08,0.001,,0.001,0.213,0.0,0.0,0.785,-0.01,,0.0,,
Edifício I-1    Parte 1,PMG-16,A,2014-04-14,0.0,0.0,0.06,0.14,0.0,0.0,0.8,-0.01,,0.0,,
Edifício I-1    Parte 1,PMG-16,B,2014-04-14,0.0,0.0,0.109,0.109,0.0,0.0,0.782,-0.04,,0.0,,
Edifício I-1    Parte 1,PMG-17,A,2014-04-14,0.0,0.0,0.07,0.125,0.0,0.0,0.805,0.0,,0.0,,
Edifício I-1    Parte 1,PMG-17,B,2014-04-14,0.0,0.0,0.075,0.135,0.0,0.0,0.79,0.08,,0.0,,
Edifício I-1    Parte 1,PMG-18,A,2014-04-14,0.0,0.0,0.04,0.168,0.0,0.0,0.793,-0.02,,0.0,,
Edifício I-1    Parte 1,PMG-18,B,2014-04-14,0.0,0.0,0.019,0.198,0.0,0.0,0.783,-0.04,,0.0,,
Edifício I-1    Parte 1,PMG-20,A,2014-04-14,0.0,0.0,0.007,0.21,0.0,0.0,0.783,0.01,,0.0,,
Edifício I-1    Parte 1,PMG-20,B,2014-04-14,0.0,0.0,0.001,0.219,0.0,0.0,0.78,-0.01,,0.0,,
Edifício I-1    Parte 1,PMG-22,A,2014-04-14,0.0,0.0,0.002,0.216,0.0,0.0,0.788,0.02,,0.0,,
Edifício I-1    Parte 1,PMG-22,B,2014-04-14,0.0,0.0,0.094,0.118,0.0,0.0,0.788,0.12,,0.0,,
Edifício I-1    Parte 1,PMG-23,A,2014-04-14,0.0,0.0,0.01,0.2,0.0,0.0,0.8,0.0,,0.0,,
Edifício I-1    Parte 1,PMG-23,B,2014-04-14,0.0,0.0,0.053,0.158,0.0,0.0,0.789,-0.08,,0.0,,
Edifício I-1    Parte 1,PMG-113,A,2014-04-14,0.0,0.0,0.082,0.127,0.0,0.0,0.791,-0.01,,0.0,,
Edifício I-1    Parte 1,PMG-113,B,2014-04-14,0.0,0.0,0.041,0.17,0.0,0.0,0.789,0.13,,0.0,,
Edifício I-1    Parte 1,PMG-114,A,2014-04-14,0.0,0.0,0.001,0.219,0.0,0.0,0.78,-0.0004,,0.0,,
