column_name,cf_long_name,cf_standard_name,units,generated_description
d2m_maximum,2 m dewpoint temperature (maximum),,K,Represents the maximum observed 2-meter dewpoint temperature in Kelvin.
ro_maximum,Surface runoff (maximum),,m,"Represents the maximum observed surface runoff rate, likely in meters per second (m/s) or a similar small rate unit."
t2m_maximum,2 m air temperature (maximum),air_temperature,K,Represents the maximum observed 2-meter air temperature in Kelvin.
stl1_maximum,Soil temperature level 1 (maximum),surface_temperature,K,Represents the maximum observed soil temperature at level 1 in Kelvin.
prec,Daily precipitation (MERGE/CPTEC),precipitation_amount,kg m-2,"Represents the total precipitation, likely in millimeters (mm)."
prmsl,Mean sea level pressure,air_pressure_at_mean_sea_level,Pa,"Represents the pressure reduced to mean sea level, with the observed values indicating a missing data fill value."
alnid_median,Near-IR albedo for diffuse radiation (median),,1,Represents the median observed diffuse albedo in the near-infrared spectrum (dimensionless fraction).
aluvd_median,UV-visible albedo for diffuse radiation (median),,1,Represents the median observed diffuse albedo in the ultraviolet-visible spectrum (dimensionless fraction).
e_median,Evaporation (liquid water equivalent thickness) (median),lwe_thickness_of_water_evaporation_amount,m,"Median value of 'e', likely a flux such as evaporation or latent heat, with values typically ranging from 0.04 to 0.21."
d2m_median,2 m dewpoint temperature (median),,K,"Median dew point temperature at 2 meters, measured in Kelvin, typically ranging from 293 K to 298 K."
ro_median,Surface runoff (median),,m,"Median runoff rate, indicating water flow over land, with extremely small values typically ranging from near zero to 0.0025."
t2m_median,2 m air temperature (median),air_temperature,K,"Median air temperature at 2 meters above the surface, measured in Kelvin, typically ranging from 296 K to 303 K."
stl1_median,Soil temperature level 1 (median),surface_temperature,K,"Median soil temperature at the first layer, measured in Kelvin, typically ranging from 298 K to 304 K."
alnid_minimum,Near-IR albedo for diffuse radiation (minimum),,1,"Minimum diffuse albedo in the near-infrared band, representing the fraction of incoming near-infrared radiation reflected, with values around 0.16 to 0.18."
aluvd_minimum,UV-visible albedo for diffuse radiation (minimum),,1,"Minimum diffuse albedo in the visible light band, representing the fraction of incoming visible radiation reflected, with values around 0.04 to 0.05."
e_minimum,Evaporation (liquid water equivalent thickness) (minimum),lwe_thickness_of_water_evaporation_amount,m,"Minimum value of 'e', likely a flux such as evaporation or latent heat, with values typically ranging from 0.12 to 0.53."
d2m_minimum,2 m dewpoint temperature (minimum),,K,"Minimum dew point temperature at 2 meters, measured in Kelvin, typically ranging from 290 K to 297 K."
ro_minimum,Surface runoff (minimum),,m,"Minimum runoff rate, indicating water flow over land, with extremely small values typically ranging from zero to 0.0004."
t2m_minimum,2 m air temperature (minimum),air_temperature,K,"The minimum temperature at 2 meters above the surface, measured in Kelvin."
stl1_minimum,Soil temperature level 1 (minimum),surface_temperature,K,"The minimum soil temperature at level 1, measured in Kelvin."
alnid_std,Near-IR albedo for diffuse radiation (std),,1,"The standard deviation of the direct near-infrared albedo, which is a dimensionless quantity."
aluvd_std,UV-visible albedo for diffuse radiation (std),,1,"The standard deviation of the direct ultraviolet albedo, which is a dimensionless quantity."
e_std,Evaporation (liquid water equivalent thickness) (std),lwe_thickness_of_water_evaporation_amount,m,"The standard deviation of environmental variable 'e', with units not apparent from the values."
d2m_std,2 m dewpoint temperature (std),,K,"The standard deviation of the dew point temperature at 2 meters above the surface, likely in Kelvin."
ro_std,Surface runoff (std),,m,"The standard deviation of runoff, likely measured in meters."
t2m_std,2 m air temperature (std),air_temperature,K,"The standard deviation of the temperature at 2 meters above the surface, likely in Kelvin."
stl1_std,Soil temperature level 1 (std),surface_temperature,K,"The standard deviation of the soil temperature at level 1, likely in Kelvin."
alnid_variance,Near-IR albedo for diffuse radiation (variance),,1,"The variance of the direct near-infrared albedo, which is a dimensionless quantity."
aluvd_variance,UV-visible albedo for diffuse radiation (variance),,1,"Variance of a parameter related to albedo in the ultraviolet-visible-near-infrared diffuse spectrum, indicating variability in surface reflectance."
e_variance,Evaporation (liquid water equivalent thickness) (variance),lwe_thickness_of_water_evaporation_amount,m,"Variance of an environmental parameter 'e', potentially related to energy or water flux, exhibiting unusual negative values."
d2m_variance,2 m dewpoint temperature (variance),,K,"Variance of dew point temperature at 2 meters above the surface, likely in (Celsius)^2 or (Kelvin)^2."
ro_variance,Surface runoff (variance),,m,"Variance of an environmental parameter 'ro', possibly representing runoff or surface roughness."
t2m_variance,2 m air temperature (variance),air_temperature,K,"Variance of air temperature at 2 meters above the surface, likely in (Celsius)^2 or (Kelvin)^2."
stl1_variance,Soil temperature level 1 (variance),surface_temperature,K,"Variance of soil temperature in the first layer below the surface, likely in (Celsius)^2 or (Kelvin)^2."
VPD_magnus_mean,"Vapor Pressure Deficit (Magnus method, mean)",,kPa,"Mean Vapor Pressure Deficit calculated using the Magnus formula, likely in hectopascals (hPa)."
VPD_magnus_minimum,"Vapor Pressure Deficit (Magnus method, minimum)",,kPa,"Minimum Vapor Pressure Deficit calculated using the Magnus formula, likely in hectopascals (hPa)."
VPD_magnus_maximum,"Vapor Pressure Deficit (Magnus method, maximum)",,kPa,"Maximum Vapor Pressure Deficit calculated using the Magnus formula, likely in hectopascals (hPa)."
longitude,longitude,longitude,degrees_east,"Geographical longitude of the measurement site, indicating a fixed location for the dataset in decimal degrees."
latitude,latitude,latitude,degrees_north,"Represents the geographic latitude of the measurement site in decimal degrees, appearing constant at approximately -2.91 degrees for all entries."
