column_name,dtype,description,min_value,max_value,mean_value,null_count,sample_values,llm_provider
sur_refl_b07,float64,"This column shows surface reflectance in the near-infrared band (B07), with values from -9999.0 to 0.2005 and a mean of -32.75.",-9999.0,0.2005,-32.75406530668128,0,0.2005; 0.0992; 0.1591,openai/gpt-4o-mini
Clear_sky_days,float64,"This column counts the number of clear sky days, with values ranging from -9999.0 to 252.0 and a mean of -9174.39.",-9999.0,252.0,-9174.393209200438,0,-9999.0; 2.0; 64.0,openai/gpt-4o-mini
Clear_sky_nights,float64,"This column counts the number of clear sky nights, with values from -9999.0 to 251.0 and a mean of -9234.59.",-9999.0,251.0,-9234.593647316538,0,-9999.0; 128.0; 2.0,openai/gpt-4o-mini
Emis_31,float64,"This column represents emissivity in the thermal infrared band 31, with values from -19.998 to 0.492 and a mean of -0.46.",-19.998,0.492,-0.45632256297918966,0,0.492; -19.998; 0.49,openai/gpt-4o-mini
Emis_32,float64,"This column indicates emissivity in the thermal infrared band 32, with values ranging from -19.998 to 0.496 and a mean of -0.45.",-19.998,0.496,-0.4541188389923331,0,0.494; -19.998; 0.492,openai/gpt-4o-mini
LST_Day_1km,float64,"This column shows land surface temperature during the day at a 1 km resolution, with values from -9999.0 to 306.4 and a mean of -472.10 K.",-9999.0,306.40000000000003,-472.09786966046,0,-9999.0; 299.04; 301.64,openai/gpt-4o-mini
LST_Night_1km,float64,"This column indicates land surface temperature during the night at a 1 km resolution, with values from -9999.0 to 297.82 and a mean of -2368.49 K.",-9999.0,297.82,-2368.4949507119386,0,297.82; -9999.0; 295.0,openai/gpt-4o-mini
QC_Day,float64,"This column represents the quality control flag for daytime data, with values ranging from -9999.0 to 129.0 and a mean of 21.38.",-9999.0,129.0,21.382803943044905,0,2.0; 65.0; 0.0,openai/gpt-4o-mini
QC_Night,float64,"This column represents the quality control values for nighttime measurements, with a range from -9999.0 to 129.0 and a mean of -4749.19.",-9999.0,129.0,-4749.194961664841,0,2.0; 65.0; -9999.0,openai/gpt-4o-mini
Fpar,float64,"This column indicates the fraction of photosynthetically active radiation (Fpar) absorbed, with values ranging from -9999.0 to 0.87 and a mean of -511.40.",-9999.0,0.87,-511.40205366922237,0,-9999.0; 0.86; 0.8300000000000001,openai/gpt-4o-mini
FparExtra_QC,float64,"This column contains quality control values for additional Fpar measurements, ranging from -9999.0 to 72.0, with a mean of -500.24.",-9999.0,72.0,-500.23658269441404,0,-9999.0; 1.0; 8.0,openai/gpt-4o-mini
FparLai_QC,float64,"This column provides quality control values for Fpar and Leaf Area Index (Lai) measurements, with a range from -9999.0 to 115.0 and a mean of -470.02.",-9999.0,115.0,-470.01807228915663,0,-9999.0; 32.0; 34.0,openai/gpt-4o-mini
FparStdDev,float64,"This column shows the standard deviation of Fpar values, ranging from -9999.0 to 0.07, with a mean of -528.39.",-9999.0,0.07,-528.3881626506023,0,-9999.0; 0.02; 0.04,openai/gpt-4o-mini
Lai,float64,"This column represents the Leaf Area Index (Lai) in square meters per square meter, with values from -999.9 to 5.7 and a mean of -49.64.",-999.9,5.7,-49.63606243154434,0,-999.9; 5.2; 4.9,openai/gpt-4o-mini
alnid_mean,float64,"This column indicates the mean value of alnid, with a range from 0.1656 to 0.1838 and a mean of 0.1756.",0.16555724,0.18377292,0.17559945944687844,0,0.17496248; 0.17490202; 0.1748419,openai/gpt-4o-mini
aluvd_mean,float64,"This column shows the mean value of aluvd, ranging from 0.0404 to 0.0484, with a mean of 0.0452.",0.040362187,0.048447344,0.04519234682749179,0,0.04743254; 0.047411356; 0.04739268,openai/gpt-4o-mini
e_mean,float64,"This column represents the mean value of e, with values ranging from 0.0613 to 0.2451 and a mean of 0.1629.",0.06131085,0.245075,0.1628588479016977,0,0.15829891; 0.1617301; 0.117233746,openai/gpt-4o-mini
d2m_mean,float64,"This column indicates the mean 2-meter temperature in Kelvin, with a range from 293.57 to 297.96 and a mean of 296.44.",293.57382,297.95627,296.44214477546547,0,296.69174; 296.57938; 296.70947,openai/gpt-4o-mini
ro_mean,float64,This column represents the mean respiration rate (in mol CO2/m²/s) with values ranging from 6.37e-07 to 0.00258286 and an average of approximately 8.42e-05.,6.367142e-07,0.00258286,8.417190982935377e-05,0,2.093846e-06; 3.687882e-06; 1.5094566e-05,openai/gpt-4o-mini
t2m_mean,float64,"This column indicates the mean temperature at 2 meters above ground level (in °C), with a range from 296.87 to 303.75 and a mean of about 300.12.",296.8664,303.7517,300.1242705722891,0,300.85727; 299.98038; 298.62357,openai/gpt-4o-mini
adj_sfc_sw_diff_clr_daily,float64,"This column shows the adjusted surface shortwave radiation difference on clear days (in W/m²), with values between 33.94 and 150.50 and an average of approximately 75.63.",33.939583,150.50313,75.63464224999998,0,68.783325; 70.96875; 60.73021,openai/gpt-4o-mini
adj_sfc_sw_diff_all_daily,float64,"This column reflects the adjusted surface shortwave radiation difference across all conditions (in W/m²), ranging from 35.03 to 210.78, with a mean of about 133.20.",35.03021,210.78334,133.2016502902519,0,124.614586; 172.70937; 115.961464,openai/gpt-4o-mini
adj_sfc_sw_diff_pri_daily,float64,"This column presents the adjusted surface shortwave radiation difference for primary conditions (in W/m²), with a minimum of 20.34 and a maximum of 24.64, averaging around 22.28.",20.336458,24.637499,22.279177836527932,0,23.166666; 23.273956; 23.289583,openai/gpt-4o-mini
adj_sfc_sw_diff_naer_daily,float64,"This column indicates the adjusted surface shortwave radiation difference for near conditions (in W/m²), ranging from 25.27 to 233.38, with a mean of approximately 122.75.",25.266668,233.38336,122.75359782831326,0,102.88958; 180.63646; 120.295815,openai/gpt-4o-mini
adj_sfc_par_diff_clr_daily,float64,"This column represents the adjusted surface photosynthetically active radiation difference on clear days (in W/m²), with values from 20.66 to 79.70 and an average of about 44.63.",20.659376,79.69688,44.62622232420591,0,41.071873; 42.478123; 36.677082,openai/gpt-4o-mini
adj_sfc_par_diff_all_daily,float64,"This column shows the adjusted surface photosynthetically active radiation difference across all conditions (in W/m²), ranging from 19.14 to 98.82, with a mean of approximately 66.44.",19.136457,98.815636,66.44467484693318,0,63.672916; 81.96979; 56.596874,openai/gpt-4o-mini
adj_sfc_par_diff_pri_daily,float64,"This column reflects the adjusted surface photosynthetically active radiation difference for primary conditions (in W/m²), with a minimum of 12.85 and a maximum of 15.58, averaging around 13.92.",12.849999,15.580209,13.921203284775466,0,14.506251; 14.567708; 14.584376,openai/gpt-4o-mini
alnid_maximum,float64,This column indicates the maximum albedo (dimensionless) with values ranging from 0.1656 to 0.1838 and an average of approximately 0.1757.,0.1655676,0.18379071,0.1756620900930997,0,0.17498672; 0.17492568; 0.17486933,openai/gpt-4o-mini
aluvd_maximum,float64,"This column represents the maximum value of aluvd, with a range from 0.0404 to 0.0485 and a mean of approximately 0.0452 (unit: unspecified).",0.040369473,0.048455022,0.045216298679079954,0,0.04744433; 0.04742208; 0.047399834,openai/gpt-4o-mini
e_maximum,float64,"This column indicates the maximum value of e, ranging from 0.0180 to 0.1433, with a mean of about 0.0609 (unit: unspecified).",0.017992308,0.14325534,0.06092551102382257,0,0.053864263; 0.06612105; 0.060329564,openai/gpt-4o-mini
d2m_maximum,float64,"This column shows the maximum 2-meter temperature, with values between 294.6753 and 299.1472, and a mean of approximately 297.3559 (unit: Kelvin).",294.6753,299.14716,297.35591821467693,0,297.57324; 297.21753; 297.18497,openai/gpt-4o-mini
ro_maximum,float64,"This column reflects the maximum value of ro, ranging from 1.0915e-06 to 0.0086, with a mean of about 0.0003 (unit: unspecified).",1.0915101e-06,0.008626337,0.00030832497857404163,0,6.556511e-06; 2.7321279e-05; 7.3766336e-05,openai/gpt-4o-mini
t2m_maximum,float64,"This column represents the maximum 2-meter temperature, with values from 298.1882 to 307.5799 and a mean of approximately 303.1678 (unit: Kelvin).",298.18823,307.57986,303.16783520536694,0,303.95285; 301.8554; 300.61932,openai/gpt-4o-mini
stl1_maximum,float64,"This column indicates the maximum soil temperature at 1 cm depth, ranging from 299.1674 to 308.2457, with a mean of about 303.4447 (unit: Kelvin).",299.16742,308.2457,303.4447385021906,0,305.0218; 303.9108; 302.77042,openai/gpt-4o-mini
prec,float64,"This column shows precipitation values, with a maximum of 137.0 and a mean of approximately 5.2096 (unit: unspecified, likely mm).",0.0,137.0,5.209594058050383,0,0.5; 0.375; 45.5,openai/gpt-4o-mini
prmsl,float64,"This column contains a constant value of -9e+33, indicating missing or invalid data for pressure at mean sea level (unit: unspecified).",-9e+33,-9e+33,-9e+33,0,-9e+33,openai/gpt-4o-mini
alnid_median,float64,"This column represents the median value of alnid, ranging from 0.1656 to 0.1838, with a mean of approximately 0.1756 (unit: unspecified).",0.16555822,0.18377194,0.17559958323110625,0,0.17496324; 0.1749022; 0.17484115,openai/gpt-4o-mini
aluvd_median,float64,"This column indicates the median value of aluvd, with values from 0.0404 to 0.0484 and a mean of about 0.0452 (unit: unspecified).",0.040361527,0.048445493,0.045192249099671414,0,0.047430027; 0.047410958; 0.04739348,openai/gpt-4o-mini
e_median,float64,"This column represents the median net ecosystem exchange (NEE) with values ranging from 0.04399 to 0.20589, and a mean of 0.10533 (units: unspecified, likely in gC/m²/day).",0.043989845,0.20588686,0.10532710466511501,0,0.120586716; 0.110383436; 0.10967754,openai/gpt-4o-mini
d2m_median,float64,"This column indicates the median temperature at 2 meters above ground level, with a range from 293.39 to 297.93 K and a mean of 296.45 K.",293.38672,297.93127,296.454004575575,0,296.6578; 296.53693; 296.64096,openai/gpt-4o-mini
ro_median,float64,"This column shows the median respiration rate, with values between 5.46e-07 and 0.00252, and a mean of 6.08e-05 (units: unspecified, likely in gC/m²/day).",5.4575503e-07,0.0025187242,6.084977805773549e-05,0,1.6391277e-06; 1.0655262e-05; 6.0098246e-06,openai/gpt-4o-mini
t2m_median,float64,"This column reflects the median temperature at 2 meters above ground level, ranging from 296.76 to 303.25 K, with a mean of 299.76 K.",296.7633,303.25305,299.75613149233294,0,300.45486; 300.0285; 298.4755,openai/gpt-4o-mini
stl1_median,float64,"This column represents the median soil temperature at 1 cm depth, with values from 298.41 to 303.64 K and a mean of 300.93 K.",298.41425,303.64465,300.93294907447967,0,302.40796; 302.24548; 301.26367,openai/gpt-4o-mini
alnid_minimum,float64,"This column indicates the minimum value of a specific variable (possibly albedo or nitrogen index), ranging from 0.16554 to 0.18376, with a mean of 0.17554 (units: unspecified).",0.16554414,0.18375784,0.1755365651204819,0,0.17493036; 0.17486933; 0.17481299,openai/gpt-4o-mini
aluvd_minimum,float64,"This column shows the minimum value of another variable (possibly albedo or UV index), with values between 0.04035 and 0.04844, and a mean of 0.04517 (units: unspecified).",0.04035358,0.04844231,0.04516852531325301,0,0.047418907; 0.04739666; 0.047377586,openai/gpt-4o-mini
e_minimum,float64,"This column represents the minimum net ecosystem exchange (NEE) values ranging from 0.12343 to 0.52702, with a mean of 0.36375 (units: unspecified, likely in gC/m²/day).",0.12342632,0.5270178,0.36374963839539975,0,0.28541157; 0.31022996; 0.20234138,openai/gpt-4o-mini
d2m_minimum,float64,"This column indicates the minimum temperature at 2 meters above ground level, ranging from 290.83 to 297.22 K, with a mean of 295.55 K.",290.82532,297.22217,295.5475019249726,0,296.05392; 295.81796; 296.19922,openai/gpt-4o-mini
ro_minimum,float64,"This column shows the minimum respiration rate, with values ranging from N/A to 0.00041, and a mean of 4.87e-05 (units: unspecified, likely in gC/m²/day).",0.0,0.00040981546,4.865439316314349e-05,0,1.0915101e-06; 2.1848828e-06; 1.6391277e-06,openai/gpt-4o-mini
t2m_minimum,float64,"This column represents the minimum temperature measured in degrees Kelvin, with a mean value of approximately 297.68 K.",295.41968,301.0218,297.6845574945235,0,298.18155; 297.6806; 297.34982,openai/gpt-4o-mini
stl1_minimum,float64,"This column indicates the minimum soil temperature at a depth of 1 meter, measured in degrees Kelvin, with a mean value of about 299.51 K.",297.29977,302.2528,299.51250466046,0,301.20294; 300.9314; 300.65442,openai/gpt-4o-mini
alnid_std,float64,"This column shows the standard deviation of alnid concentrations, measured in units of concentration, with a mean of approximately 3.77e-05.",3.4490918e-06,0.000113770184,3.77405922765608e-05,0,1.871837e-05; 1.8312623e-05; 1.8168354e-05,openai/gpt-4o-mini
aluvd_std,float64,"This column reflects the standard deviation of aluvd concentrations, measured in units of concentration, with a mean value of around 1.42e-05.",1.655653e-06,5.6650577e-05,1.4178303434063527e-05,0,6.9562193e-06; 8.3495615e-06; 6.7578717e-06,openai/gpt-4o-mini
e_std,float64,"This column represents the standard deviation of the energy balance, measured in unspecified units, with a mean value of approximately -0.1033.",-0.1778173,-0.022093736,-0.10327773743811608,0,-0.08166105; -0.0837867; -0.0345879,openai/gpt-4o-mini
d2m_std,float64,"This column indicates the standard deviation of the difference in temperature, measured in degrees Kelvin, with a mean value of about 0.51 K.",0.14206061,1.8408345,0.5148077405339541,0,0.40120503; 0.33925006; 0.30770296,openai/gpt-4o-mini
ro_std,float64,"This column shows the standard deviation of runoff, measured in unspecified units, with a mean value of approximately 6.34e-05.",0.0,0.002299637,6.339830213133543e-05,0,1.3993368e-06; 5.59324e-06; 1.6045702e-05,openai/gpt-4o-mini
t2m_std,float64,"This column represents the standard deviation of temperature measurements, measured in degrees Kelvin, with a mean value of about 1.80 K.",0.38381848,3.186378,1.8015640725438118,0,2.0110343; 1.4128546; 1.0019482,openai/gpt-4o-mini
stl1_std,float64,"This column indicates the standard deviation of soil temperature at a depth of 1 meter, measured in degrees Kelvin, with a mean value of approximately 1.31 K.",0.24679506,2.7425265,1.3089635149698793,0,1.3162317; 1.03096; 0.5152601,openai/gpt-4o-mini
alnid_variance,float64,"This column reflects the variance of alnid concentrations, measured in units of concentration squared, with a mean value of approximately 2.32e-09.",1.1896234e-11,1.2943654e-08,2.3178539464238768e-09,0,3.503774e-10; 3.3535216e-10; 3.300891e-10,openai/gpt-4o-mini
aluvd_variance,float64,"This column represents the variance of alluvial deposits, with values ranging from 2.74e-12 to 3.21e-09 and a mean of approximately 3.97e-10.",2.7411868e-12,3.209288e-09,3.967647508284228e-10,0,4.8388987e-11; 6.971518e-11; 4.566883e-11,openai/gpt-4o-mini
e_variance,float64,"This column indicates the variance in energy measurements, with values from -3.16e-05 to -4.88e-07 and a mean of about -1.11e-05.",-3.161899e-05,-4.8813314e-07,-1.114849535543264e-05,0,-6.6685284e-06; -7.0202113e-06; -1.196323e-06,openai/gpt-4o-mini
d2m_variance,float64,"This column shows the variance in the distance to the second moment, with values between 0.02 and 3.39 and a mean of approximately 0.29.",0.020181218,3.3886716,0.2921328257442497,0,0.16096547; 0.11509061; 0.094681114,openai/gpt-4o-mini
ro_variance,float64,"This column reflects the variance in organic matter content, with values ranging from N/A to 5.29e-06 and a mean of about 3.66e-08.",0.0,5.288331e-06,3.662877193107947e-08,0,1.9581437e-12; 3.1284333e-11; 2.5746458e-10,openai/gpt-4o-mini
t2m_variance,float64,"This column represents the variance in temperature at 2 meters above ground level, with values from 0.15 to 10.15 and a mean of approximately 3.41.",0.14731662,10.153005,3.413764707560241,0,4.0442586; 1.996158; 1.0039002,openai/gpt-4o-mini
stl1_variance,float64,"This column indicates the variance in soil temperature at the first layer, with values ranging from 0.06 to 7.52 and a mean of about 1.90.",0.0609078,7.5214524,1.8967961204616648,0,1.7324661; 1.0628784; 0.26549295,openai/gpt-4o-mini
VPD_magnus_mean,float64,"This column shows the mean vapor pressure deficit (VPD) calculated using the Magnus formula, with values from 2.29 to 18.47 and a mean of approximately 7.08.",2.287716,18.474245,7.080650059419495,0,8.133474; 6.469328; 3.5240192,openai/gpt-4o-mini
VPD_magnus_minimum,float64,"This column indicates the minimum vapor pressure deficit (VPD) using the Magnus formula, with values ranging from 1.09 to 13.89 and a mean of about 3.75.",1.0877361,13.890003,3.7510561205366924,0,3.8067226; 3.268488; 2.0213013,openai/gpt-4o-mini
VPD_magnus_maximum,float64,"This column reflects the maximum vapor pressure deficit (VPD) calculated using the Magnus formula, with values from 2.50 to 27.67 and a mean of approximately 12.43.",2.502615,27.674889,12.426831497782038,0,13.8216305; 9.421701; 6.7466297,openai/gpt-4o-mini
longitude,float64,"This column represents the geographic longitude, consistently recorded at -54.98.",-54.98,-54.98,-54.980000000000004,0,-54.98,openai/gpt-4o-mini
latitude,float64,"This column represents the geographic latitude of the sample locations, measured in degrees, with a constant value of -2.91 across all entries.",-2.91,-2.91,-2.91,0,-2.91,openai/gpt-4o-mini
